                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                 1.7156,                 0.7352,                  1.067,                0.79497,                0.64695,                0.71707,                0.30677,                 1.9941,                0.85647,                 1.0991,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.6537,                0.74131,                 1.0736,                0.81897,                0.67225,                0.75074,                0.35333,                 1.8117,                0.81336,                 1.0484,                0.00134,                0.00134,                0.00134
                    102,                 1.6575,                0.71702,                 1.0641,                0.78656,                0.68071,                0.73571,                0.32665,                 1.8652,                0.92692,                  1.056,              0.0013334,              0.0013334,              0.0013334
                    103,                 1.7102,                0.73647,                 1.0691,                0.77581,                 0.6842,                0.74603,                0.37012,                 1.6811,                0.89591,                 1.0163,              0.0013268,              0.0013268,              0.0013268
                    104,                 1.7232,                0.74239,                 1.0576,                0.76733,                0.68095,                0.72808,                0.33563,                 1.7679,                0.82573,                 1.0273,              0.0013202,              0.0013202,              0.0013202
                    105,                 1.6917,                0.71552,                 1.0486,                0.76098,                0.68338,                0.73826,                0.33943,                 1.8147,                0.81477,                 1.0404,              0.0013136,              0.0013136,              0.0013136
                    106,                 1.7088,                0.74091,                 1.0731,                0.81385,                0.65815,                0.74399,                0.33316,                 1.8845,                0.79847,                  1.054,               0.001307,               0.001307,               0.001307
                    107,                 1.6765,                0.71823,                 1.0588,                 0.7629,                 0.6712,                0.72097,                0.30767,                 1.9606,                0.81917,                 1.0853,              0.0013004,              0.0013004,              0.0013004
                    108,                 1.7843,                0.74313,                 1.0683,                0.77295,                0.68693,                0.73879,                0.33931,                 1.8431,                 0.8173,                 1.0611,              0.0012938,              0.0012938,              0.0012938
                    109,                 1.7271,                0.73306,                  1.063,                 0.7594,                0.66097,                 0.6985,                0.27767,                 2.0475,                 0.8425,                 1.1009,              0.0012872,              0.0012872,              0.0012872
                    110,                 1.6918,                0.72542,                 1.0615,                0.76272,                0.68479,                0.73235,                0.34575,                 1.7509,                0.80808,                 1.0232,              0.0012806,              0.0012806,              0.0012806
                    111,                 1.6825,                 0.7162,                 1.0391,                0.77005,                0.67627,                0.72206,                0.32488,                 1.8107,                0.81052,                 1.0317,               0.001274,               0.001274,               0.001274
                    112,                  1.684,                 0.7076,                 1.0393,                0.77516,                0.67844,                0.74425,                0.36148,                 1.7214,                0.80078,                 1.0169,              0.0012674,              0.0012674,              0.0012674
                    113,                  1.682,                 0.7249,                 1.0449,                0.78643,                  0.684,                0.75028,                0.35859,                 1.7617,                0.78786,                 1.0278,              0.0012608,              0.0012608,              0.0012608
