                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.6388,                0.71036,                 1.0835,                0.77019,                0.69035,                0.74181,                0.35299,                 1.7724,                0.79209,                 1.0526,               0.006106,               0.006106,               0.006106
                    120,                 1.5853,                0.69616,                 1.0816,                0.77579,                0.69411,                0.74902,                0.35109,                 1.7807,                0.78182,                 1.0473,               0.006073,               0.006073,               0.006073
                    121,                 1.6108,                0.70895,                 1.0789,                0.77484,                0.68972,                0.74482,                 0.3665,                 1.6997,                0.77684,                 1.0334,                0.00604,                0.00604,                0.00604
                    122,                 1.6268,                0.69985,                 1.0743,                0.79831,                0.68941,                0.75667,                0.35181,                 1.7478,                0.76982,                 1.0404,               0.006007,               0.006007,               0.006007
                    123,                 1.6373,                0.70815,                 1.0681,                0.78634,                0.69489,                0.75617,                0.34564,                 1.7809,                 0.7721,                 1.0463,               0.005974,               0.005974,               0.005974
                    124,                 1.6652,                0.71459,                 1.0925,                0.76348,                0.69873,                0.74944,                0.36176,                  1.698,                0.78553,                 1.0317,               0.005941,               0.005941,               0.005941
                    125,                 1.6097,                0.71117,                 1.0847,                0.79111,                0.69863,                0.76446,                 0.3749,                 1.6804,                0.77252,                 1.0308,               0.005908,               0.005908,               0.005908
                    126,                 1.6073,                0.69403,                 1.0626,                0.81672,                0.68267,                0.75386,                0.34561,                 1.8019,                0.79715,                  1.056,               0.005875,               0.005875,               0.005875
                    127,                 1.6445,                0.69672,                 1.0606,                0.82525,                0.68582,                0.76645,                0.37944,                 1.6848,                0.77434,                 1.0312,               0.005842,               0.005842,               0.005842
                    128,                 1.6582,                    0.7,                 1.0754,                0.80912,                0.67239,                0.74785,                0.35724,                 1.7685,                  0.773,                 1.0477,               0.005809,               0.005809,               0.005809
                    129,                 1.6759,                0.70296,                 1.0893,                0.78274,                0.68297,                0.74294,                0.38341,                 1.6268,                0.76901,                 1.0188,               0.005776,               0.005776,               0.005776
                    130,                 1.6237,                0.70544,                 1.0849,                0.80809,                0.66561,                0.73345,                0.35558,                 1.7492,                0.82976,                 1.0442,               0.005743,               0.005743,               0.005743
                    131,                 1.5958,                0.69567,                 1.1009,                0.81107,                0.67045,                0.74633,                0.38159,                  1.647,                0.77952,                 1.0239,                0.00571,                0.00571,                0.00571
                    132,                 1.6375,                0.68965,                 1.0621,                0.81134,                0.68346,                0.75749,                0.37943,                 1.6542,                0.74373,                 1.0194,               0.005677,               0.005677,               0.005677
                    133,                 1.5937,                0.68243,                 1.0707,                 0.7793,                0.69565,                0.74957,                0.36167,                  1.727,                0.77019,                 1.0387,               0.005644,               0.005644,               0.005644
                    134,                 1.5805,                0.67908,                 1.0886,                0.81026,                0.68032,                0.75667,                 0.3684,                 1.7002,                 0.7667,                 1.0321,               0.005611,               0.005611,               0.005611
                    135,                 1.6173,                 0.6901,                 1.0743,                0.82674,                 0.6799,                0.75279,                0.33565,                 1.8655,                0.78021,                 1.0639,               0.005578,               0.005578,               0.005578
                    136,                 1.6152,                0.68287,                 1.0571,                0.81704,                0.67343,                0.74315,                0.32202,                 1.9126,                0.80381,                 1.0798,               0.005545,               0.005545,               0.005545
                    137,                 1.6065,                0.69124,                 1.0854,                0.81911,                0.68174,                0.76071,                0.36449,                 1.7543,                0.77139,                 1.0413,               0.005512,               0.005512,               0.005512
                    138,                 1.6442,                0.69769,                 1.0564,                 0.8148,                 0.6804,                0.76173,                0.37129,                 1.7159,                0.76333,                 1.0286,               0.005479,               0.005479,               0.005479
                    139,                 1.5845,                0.67738,                 1.0736,                0.79511,                0.68821,                0.75649,                0.36552,                 1.7246,                0.76643,                 1.0291,               0.005446,               0.005446,               0.005446
                    140,                 1.5888,                0.69362,                 1.0801,                0.77909,                0.70586,                0.75941,                 0.3675,                 1.7297,                0.77019,                 1.0291,               0.005413,               0.005413,               0.005413
